,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,y
18,37, Private,152879, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19,28, Federal-gov,340628, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
20,49, Local-gov,102849, 9th,5, Separated, Machine-op-inspct, Unmarried, White, Male,0,0,40, Ireland, <=50K
21,30, Private,147704, Assoc-voc,11, Never-married, Machine-op-inspct, Unmarried, White, Male,0,2444,50, United-States, >50K
22,42, Private,52986, Some-college,10, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23,44, Local-gov,165705, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,38, Iran, <=50K
24,44, State-gov,100521, Assoc-voc,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
25,32, Private,202978, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
26,32, ?,97193, 10th,6, Separated, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
27,57, Private,125404, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
28,54, Local-gov,30929, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,42, United-States, >50K
29,35, Private,143678, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30,52, Local-gov,215703, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,2936,0,40, United-States, <=50K
31,43, Self-emp-not-inc,101305, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
32,22, Private,278330, 9th,5, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
33,35, Local-gov,38971, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34,23, Local-gov,252624, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
35,43, Self-emp-not-inc,157230, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,39, United-States, <=50K
36,37, Private,189459, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
37,19, Private,392968, HS-grad,9, Married-spouse-absent, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
38,40, Local-gov,112188, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
39,38, Private,205338, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
40,18, Private,236039, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
41,50, Federal-gov,44216, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
42,51, ?,243652, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
43,22, Private,306393, Assoc-acdm,12, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
44,26, Private,257896, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
45,52, Private,197390, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46,26, Private,350883, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,2829,0,40, United-States, <=50K
47,29, Private,57931, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
48,65, ?,148202, Bachelors,13, Widowed, ?, Not-in-family, White, Female,0,0,15, United-States, <=50K
49,72, Private,172687, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3471,0,40, United-States, <=50K
50,46, Private,148589, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
51,42, Private,31967, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
52,33, Private,143389, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
53,30, Private,207546, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
54,28, Private,314959, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
55,60, Local-gov,206329, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
56,68, Self-emp-not-inc,41387, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57,19, Private,56799, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
58,60, Self-emp-not-inc,305360, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
59,45, Private,148092, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
60,20, Private,170623, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
61,40, Private,164913, HS-grad,9, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
62,37, Private,255044, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
63,25, Private,264187, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
64,48, Local-gov,46115, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
65,29, Local-gov,206582, Assoc-voc,11, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
66,32, Private,213290, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
67,43, Private,174701, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,55, United-States, >50K
68,61, Private,202052, 12th,8, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
69,36, ?,176580, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
70,38, Private,226199, 9th,5, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
71,31, Private,61777, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
72,42, Private,158453, Masters,14, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, South, <=50K
73,41, Private,327544, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
74,43, Private,33127, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
75,64, Private,63403, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
76,40, Federal-gov,35378, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,1471,0,40, United-States, <=50K
77,62, Private,202872, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,40, United-States, <=50K
78,63, Local-gov,186533, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,6014,0,40, United-States, >50K
79,18, Private,20121, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
80,24, State-gov,251971, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
81,30, Private,234120, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,5178,0,40, United-States, >50K
82,38, State-gov,163396, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
83,21, Private,235802, Some-college,10, Never-married, Sales, Own-child, White, Male,0,1602,35, United-States, <=50K
84,31, State-gov,281259, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Jamaica, <=50K
85,30, Private,197389, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
86,42, Private,71914, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
87,51, Private,56653, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
88,47, Private,363523, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Female,0,0,45, United-States, <=50K
89,45, Private,185001, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
90,38, Private,91359, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,40, United-States, >50K
91,17, Private,294270, 11th,7, Never-married, Priv-house-serv, Own-child, White, Female,41055,0,30, United-States, <=50K
92,42, Self-emp-inc,289786, Masters,14, Married-civ-spouse, Priv-house-serv, Other-relative, White, Female,0,0,65, ?, <=50K
93,60, Private,181655, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
94,35, Private,181201, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
95,47, Private,257172, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2649,40, Mexico, <=50K
96,44, Private,106982, Some-college,10, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
97,46, Self-emp-not-inc,43358, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
98,23, Private,182572, Assoc-voc,11, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
99,48, Private,240641, 11th,7, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
100,23, Local-gov,215243, Some-college,10, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
101,45, Self-emp-not-inc,144320, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
102,25, Local-gov,52828, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
103,41, Private,206986, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
104,19, Private,128560, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
105,44, Private,157940, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
106,35, Private,197776, HS-grad,9, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, China, <=50K
107,36, Self-emp-not-inc,113842, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,2, United-States, <=50K
108,42, Private,202378, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,32, United-States, <=50K
109,29, Private,257714, HS-grad,9, Separated, Protective-serv, Own-child, Black, Male,0,0,40, United-States, <=50K
110,35, Private,228560, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
111,18, Private,115834, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
112,44, Self-emp-not-inc,165325, Assoc-acdm,12, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
113,39, Private,262654, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
114,28, Private,175693, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
115,25, Private,206629, Preschool,1, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Poland, <=50K
116,47, Private,32355, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
117,60, Private,253661, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
118,18, Private,343540, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
119,38, Local-gov,33397, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,42, United-States, >50K
120,49, Local-gov,221150, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, United-States, >50K
121,21, Private,59812, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
122,43, Private,33353, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
123,53, Self-emp-not-inc,228398, HS-grad,9, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Philippines, >50K
124,64, Self-emp-not-inc,32313, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
125,41, Private,183844, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
126,47, Private,168262, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
127,19, Private,149158, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
128,37, Federal-gov,312710, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
129,46, Federal-gov,108425, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
130,52, Local-gov,192343, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
131,61, Local-gov,224657, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,70, United-States, >50K
132,44, Private,317412, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
133,50, State-gov,77695, 12th,8, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
134,55, Private,176111, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
135,49, Self-emp-not-inc,159085, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
136,50, Local-gov,346270, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
137,75, Self-emp-not-inc,176556, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, >50K
138,44, Private,79405, Assoc-voc,11, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
139,39, Private,86343, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,45, United-States, >50K
140,22, Private,194752, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
141,35, Self-emp-not-inc,169693, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
142,35, Private,127676, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
143,80, Private,96278, 9th,5, Widowed, Sales, Unmarried, White, Female,0,0,32, United-States, <=50K
144,58, Private,159098, Bachelors,13, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, United-States, <=50K
145,37, Self-emp-not-inc,123275, 5th-6th,3, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
146,63, Local-gov,136163, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,2290,0,8, United-States, <=50K
147,23, Private,205833, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Mexico, <=50K
148,32, Private,189517, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, ?, >50K
149,52, Private,241403, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,14344,0,50, United-States, >50K
150,30, Private,254202, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
151,46, Local-gov,156999, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States, >50K
152,23, Private,305046, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
153,57, Private,399596, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
154,26, Private,111833, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
155,37, Private,22245, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, El-Salvador, <=50K
156,32, Private,458106, Some-college,10, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
157,40, Private,106531, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Male,0,0,45, United-States, <=50K
158,59, Private,133306, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
159,64, Local-gov,112150, 1st-4th,2, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
160,25, ?,204771, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,50, United-States, >50K
161,50, Private,274308, 7th-8th,4, Divorced, Farming-fishing, Unmarried, White, Female,0,0,32, United-States, <=50K
162,52, Private,246419, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,4650,0,50, United-States, <=50K
163,28, Private,156643, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,55, United-States, >50K
164,46, Private,73618, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
165,24, Private,182640, 11th,7, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Dominican-Republic, <=50K
166,69, Private,209930, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,9586,0,50, United-States, >50K
167,30, Private,24797, Some-college,10, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
168,66, Private,35500, HS-grad,9, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,9, United-States, <=50K
169,52, Private,143112, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States, >50K
170,49, Private,100682, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
171,51, Self-emp-not-inc,118739, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, >50K
172,19, Private,184153, Some-college,10, Never-married, Sales, Own-child, White, Male,0,1602,30, United-States, <=50K
173,51, Self-emp-inc,238229, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States, >50K
174,34, Self-emp-not-inc,226699, Bachelors,13, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,10, United-States, <=50K
175,21, Without-pay,43939, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
176,40, Private,224627, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,55, United-States, >50K
177,27, Private,85372, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
178,37, Local-gov,48929, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,66, United-States, <=50K
179,36, Self-emp-not-inc,156874, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
180,47, Self-emp-not-inc,192256, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
181,49, State-gov,192744, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States, >50K
182,49, Private,99733, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
183,32, Self-emp-not-inc,122952, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, <=50K
184,35, Private,223779, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
185,65, Private,47112, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2377,50, United-States, >50K
186,26, Private,337843, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,15, United-States, <=50K
187,51, Local-gov,238739, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
188,27, Private,305466, 1st-4th,2, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Mexico, <=50K
189,23, Local-gov,224411, Some-college,10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
190,57, Private,204246, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
191,39, State-gov,161902, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,15024,0,40, ?, >50K
192,24, Private,174413, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
193,41, Private,67099, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
194,36, Private,125797, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Female,0,625,40, United-States, <=50K
195,52, State-gov,188388, Masters,14, Separated, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
196,31, Private,219411, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
197,17, Private,206506, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
198,46, Private,242676, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1902,40, United-States, >50K
199,49, Private,164512, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
200,37, Private,258490, 1st-4th,2, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
201,53, ?,75924, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
202,21, Private,266617, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,3325,0,45, United-States, <=50K
203,20, Private,231677, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
204,39, Private,154501, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
205,80, Private,375360, HS-grad,9, Widowed, Handlers-cleaners, Unmarried, Black, Male,0,0,19, United-States, <=50K
206,31, Private,133571, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
207,43, Local-gov,192556, Some-college,10, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
208,25, Private,119591, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,38, United-States, <=50K
209,36, Private,60332, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
210,47, State-gov,287480, Doctorate,16, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, <=50K
211,19, Private,27106, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
212,40, Private,267309, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,8, United-States, >50K
213,45, Self-emp-inc,343277, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7688,0,50, United-States, >50K
214,56, Federal-gov,191377, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
215,64, ?,203845, HS-grad,9, Widowed, ?, Unmarried, White, Female,0,0,20, United-States, <=50K
216,22, Private,201178, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
217,31, ?,182191, Bachelors,13, Never-married, ?, Own-child, Asian-Pac-Islander, Female,0,0,35, Philippines, <=50K
218,35, Local-gov,112891, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
219,45, Self-emp-inc,368721, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
220,53, Private,213219, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
221,64, Private,103604, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,10, United-States, <=50K
222,45, Private,420589, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
223,26, Private,358700, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
224,19, Private,22981, HS-grad,9, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
225,29, Self-emp-not-inc,195749, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1876,35, United-States, <=50K
226,35, Self-emp-inc,187153, HS-grad,9, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,65, ?, >50K
227,20, Private,110607, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
228,56, Local-gov,191988, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
229,26, Private,95695, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, >50K
230,56, Private,268211, Some-college,10, Widowed, Craft-repair, Not-in-family, White, Male,0,0,24, United-States, <=50K
231,38, Private,239815, Bachelors,13, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
